,titulo,vinculo,resumen,Cluster,Similitud
0,[BOOK][B] The Olympics: A history of the modern games,https://books.google.com/books?hl=en&lr=&id=TbLmQQG-2bQC&oi=fnd&pg=PP11&dq=Olympics&ots=Mop9bd8O4X&sig=_ZZND0y4XN11E7V-Ab2egY2UL5k,"This second edition of Guttmann's critically acclaimed history discusses the intended and actual effects of the modern Olympic Games from 1896 to 2000. The glories and fiascoes, the triumphs and tragedies--Guttmann weaves them all into a vivid and entertaining social …",5,50
1,Social impacts of the Sydney Olympics,https://www.sciencedirect.com/science/article/pii/S0160738302000506,"This paper, drawing on social exchange theory, examines the changes in enthusiasm between 1998 and 2000 towards Sydney's Olympics among a socially diverse sample of host city residents. In particular, it studies variables that differentiate respondents' altering …",4,18
2,[BOOK][B] The nazi olympics,https://books.google.com/books?hl=en&lr=&id=8CYYYeTT5mEC&oi=fnd&pg=PR11&dq=Olympics&ots=9Z4PVIPi7m&sig=i0ivJXZSwOF3W32eItPEEeHeL8g,"The 1936 Olympic Games were a political festival staged to show the superiority of Nazi ideology. Describes the modern history of the Olympics, the rise of Nazism, and Hitler's use of pageantry and of cinema in his rallies. Leni Riefenstahl's film"" Triumph des Willens""("" …",5,17
3,[BOOK][B] Understanding the olympics,https://www.taylorfrancis.com/books/mono/10.4324/9780429345272/understanding-olympics-john-horne-garry-whannel,How did the Olympics evolve into a multi-national phenomenon? How can the Olympics help us to understand the relationship between sport and society? What will be the impact and legacy of the Olympics after Tokyo in 2020? Understanding the Olympics answers all …,0,18
4,[BOOK][B] The Ancient Olympics,https://books.google.com/books?hl=en&lr=&id=3zjpDwAAQBAJ&oi=fnd&pg=PP1&dq=Olympics&ots=KoSe7Zm1lz&sig=XEItPnI4I73ZTza0jjRAUAs7Ca0,"The word'athletics' is derived from the Greek verb'to struggle for a prize'. After reading this book, no one will see the Olympics as a graceful display of Greek beauty again, but as war by other means. Nigel Spivey paints a portrait of the Greek Olympics as they really were …",0,27
5,[BOOK][B] The Olympics: the basics,https://www.taylorfrancis.com/books/mono/10.4324/9780203129418/olympics-basics-andy-miah-beatriz-garcia,"ABSTRACT The Olympics: The Basics is an accessible, contemporary introduction to the Olympic movement and Games. Chapters explain how the Olympics transcend sports, engaging us with a range of contemporary philosophical, social, cultural and political …",5,27
6,Economic aspects and the Summer Olympics: a review of related research,http://econ.uop.gr/~kasimati/index_files/Paper1.pdf,"Abstract As the Summer Olympics are growing with larger media coverage and sponsorship, host cities have started to attach great importance to the tourism and other likely economic effects that occur by staging such a special event. As a result, a number of studies have …",4,27
7,[PDF][PDF] Special Olympics,https://idhsaa.org/asset/document/149-Unified-Sports-A-Student-Guide.pdf,"To provide year-round sports training and athletic competition in a variety of Olympic-type sports for children and adults with intellectual disabilities, giving them continuing opportunities to develop physical fitness, demonstrate courage, experience joy and …",5,29
8,[BOOK][B] Megaevents and modernity: Olympics and expos in the growth of global culture,https://www.taylorfrancis.com/books/mono/10.4324/9780203443941/megaevents-modernity-maurice-roche,"This analysis explores the social history and politics of mega-events from the late 19th century to the present. Through case studies of events such as the 1851 Crystal Palace Expo, the 1936 Berlin Olympics and the 1992 Barcelona Olympics, Maurice Roche …",3,24
9,[PDF][PDF] The anti-olympics,https://puso.pw/695759.pdf,"Always an avatar for the international order of the day—Victorian imperialism, Cold War rivalry, Pax Americana—the Olympics have joined the wto and G20 as focus for alter-globo protest. Lessons for London from the 2010 Winter Games in Vancouver, where artists …",1,23
